Post,Sentiment,Breakup_Label,Upvotes,Downvotes,Comment_Count
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,362,33,164
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,470,82,91
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,246,79,142
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,298,12,68
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,431,56,198
"I feel like we're drifting apart, should I end things?",0.0,1,310,31,101
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,139,77,182
"Things aren't perfect, but I'm willing to fix it.",0.625,0,183,12,113
"I know we had a fight, but we'll get through it together.",0.0,0,358,88,117
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,189,60,146
"I feel like we're drifting apart, should I end things?",0.0,1,22,47,28
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,233,15,120
"I don't trust him anymore, I think the relationship is over.",0.0,1,356,43,193
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,461,86,164
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,324,42,17
"Things aren't perfect, but I'm willing to fix it.",0.625,0,123,13,159
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,139,87,53
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,184,16,40
"I know we had a fight, but we'll get through it together.",0.0,0,366,15,90
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,96,12,107
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,430,92,190
"I love him, and we are just going through a rough patch.",0.2,0,471,29,188
"We had a disagreement, but I think we'll work things out.",0.0,0,124,73,60
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,13,14,91
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,65,68,73
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,441,9,114
"I feel like we're drifting apart, should I end things?",0.0,1,421,41,172
"Things aren't perfect, but I'm willing to fix it.",0.625,0,83,15,153
"I feel like we're drifting apart, should I end things?",0.0,1,44,69,139
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,468,23,7
"I love him, and we are just going through a rough patch.",0.2,0,195,98,74
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,453,98,196
"Things aren't perfect, but I'm willing to fix it.",0.625,0,301,25,81
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,9,38,6
"I love him, and we are just going through a rough patch.",0.2,0,122,64,6
"Things aren't perfect, but I'm willing to fix it.",0.625,0,434,2,71
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,43,90,30
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,465,66,127
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,172,44,30
"I love him, and we are just going through a rough patch.",0.2,0,362,55,48
"I love him, and we are just going through a rough patch.",0.2,0,385,4,100
"Things aren't perfect, but I'm willing to fix it.",0.625,0,326,15,63
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,306,5,178
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,252,82,72
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,352,85,116
"I don't trust him anymore, I think the relationship is over.",0.0,1,92,48,134
"Things aren't perfect, but I'm willing to fix it.",0.625,0,192,54,3
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,230,29,74
"We had a disagreement, but I think we'll work things out.",0.0,0,239,28,88
"I feel like we're drifting apart, should I end things?",0.0,1,200,34,138
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,377,86,164
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,348,22,33
"I feel like we're drifting apart, should I end things?",0.0,1,484,16,152
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,109,68,85
"I know we had a fight, but we'll get through it together.",0.0,0,425,43,138
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,386,42,25
"We had a disagreement, but I think we'll work things out.",0.0,0,363,100,37
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,207,27,37
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,66,53,80
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,425,24,46
"Things aren't perfect, but I'm willing to fix it.",0.625,0,221,2,167
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,243,2,44
"Things aren't perfect, but I'm willing to fix it.",0.625,0,31,33,183
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,207,62,79
"We had a disagreement, but I think we'll work things out.",0.0,0,477,15,31
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,195,74,61
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,79,49,86
"I love him, and we are just going through a rough patch.",0.2,0,379,83,52
"I feel like we're drifting apart, should I end things?",0.0,1,308,93,16
"Things aren't perfect, but I'm willing to fix it.",0.625,0,468,45,14
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,37,73,141
"Things aren't perfect, but I'm willing to fix it.",0.625,0,273,97,40
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,201,69,129
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,61,86,3
"We had a disagreement, but I think we'll work things out.",0.0,0,134,42,152
"Things aren't perfect, but I'm willing to fix it.",0.625,0,292,83,178
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,10,68,200
"I know we had a fight, but we'll get through it together.",0.0,0,88,59,93
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,153,60,11
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,334,21,21
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,274,51,47
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,181,56,133
"Things aren't perfect, but I'm willing to fix it.",0.625,0,439,62,193
"I feel like we're drifting apart, should I end things?",0.0,1,492,34,41
"We had a disagreement, but I think we'll work things out.",0.0,0,97,27,138
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,105,61,179
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,158,87,99
"I know we had a fight, but we'll get through it together.",0.0,0,398,85,119
"Things aren't perfect, but I'm willing to fix it.",0.625,0,498,23,152
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,380,69,45
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,216,71,154
"I feel like we're drifting apart, should I end things?",0.0,1,341,34,47
"We had a disagreement, but I think we'll work things out.",0.0,0,51,100,52
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,450,7,63
"We had a disagreement, but I think we'll work things out.",0.0,0,468,26,72
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,448,2,135
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,191,90,25
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,348,35,71
"I don't trust him anymore, I think the relationship is over.",0.0,1,422,8,72
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,165,37,3
"I feel like we're drifting apart, should I end things?",0.0,1,468,64,73
"I don't trust him anymore, I think the relationship is over.",0.0,1,366,75,26
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,141,67,76
"I don't trust him anymore, I think the relationship is over.",0.0,1,360,1,165
"I know we had a fight, but we'll get through it together.",0.0,0,118,6,94
"We had a disagreement, but I think we'll work things out.",0.0,0,142,35,36
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,38,41,10
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,262,90,176
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,164,40,178
"Things aren't perfect, but I'm willing to fix it.",0.625,0,493,73,100
"I feel like we're drifting apart, should I end things?",0.0,1,427,1,55
"I feel like we're drifting apart, should I end things?",0.0,1,143,54,186
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,222,88,77
"We had a disagreement, but I think we'll work things out.",0.0,0,361,19,84
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,398,33,50
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,81,92,180
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,446,36,50
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,69,53,80
"I know we had a fight, but we'll get through it together.",0.0,0,247,21,62
"We had a disagreement, but I think we'll work things out.",0.0,0,270,35,19
"I don't trust him anymore, I think the relationship is over.",0.0,1,140,25,85
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,75,95,24
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,127,71,140
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,15,33,15
"I know we had a fight, but we'll get through it together.",0.0,0,193,69,189
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,349,93,184
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,323,75,76
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,132,63,190
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,440,19,105
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,50,58,19
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,112,2,24
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,69,33,137
"I feel like we're drifting apart, should I end things?",0.0,1,72,11,71
"I love him, and we are just going through a rough patch.",0.2,0,271,60,40
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,421,38,92
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,376,64,53
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,72,51,89
"I know we had a fight, but we'll get through it together.",0.0,0,103,2,178
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,392,84,131
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,362,87,180
"I don't trust him anymore, I think the relationship is over.",0.0,1,173,37,58
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,388,81,135
"I don't trust him anymore, I think the relationship is over.",0.0,1,115,91,74
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,261,97,163
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,444,79,124
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,484,10,189
"I feel like we're drifting apart, should I end things?",0.0,1,440,44,75
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,204,53,57
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,303,98,135
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,216,45,90
"Things aren't perfect, but I'm willing to fix it.",0.625,0,259,65,13
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,459,42,70
"We had a disagreement, but I think we'll work things out.",0.0,0,136,12,186
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,260,96,160
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,173,6,65
"I feel like we're drifting apart, should I end things?",0.0,1,315,68,157
"I know we had a fight, but we'll get through it together.",0.0,0,410,1,112
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,260,21,29
"I don't trust him anymore, I think the relationship is over.",0.0,1,105,50,107
"Things aren't perfect, but I'm willing to fix it.",0.625,0,124,30,150
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,284,66,18
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,307,26,166
"I feel like we're drifting apart, should I end things?",0.0,1,7,85,186
"We had a disagreement, but I think we'll work things out.",0.0,0,374,87,22
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,344,65,20
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,316,69,17
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,403,35,10
"I love him, and we are just going through a rough patch.",0.2,0,479,2,34
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,232,20,63
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,474,14,10
"I love him, and we are just going through a rough patch.",0.2,0,436,50,190
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,61,72,185
"I know we had a fight, but we'll get through it together.",0.0,0,49,57,105
"We had a disagreement, but I think we'll work things out.",0.0,0,243,8,146
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,152,81,34
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,327,16,180
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,213,14,27
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,12,17,63
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,379,43,150
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,489,100,77
"I know we had a fight, but we'll get through it together.",0.0,0,24,57,125
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,232,94,185
"I love him, and we are just going through a rough patch.",0.2,0,228,43,25
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,348,90,166
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,120,11,122
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,302,72,42
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,368,56,84
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,317,96,8
"I feel like we're drifting apart, should I end things?",0.0,1,362,22,116
"We had a disagreement, but I think we'll work things out.",0.0,0,322,28,155
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,220,24,180
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,33,65,176
"I love him, and we are just going through a rough patch.",0.2,0,274,5,119
"I know we had a fight, but we'll get through it together.",0.0,0,4,5,78
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,145,4,190
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,244,93,88
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,38,73,43
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,290,1,164
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,343,76,79
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,246,88,180
"I don't trust him anymore, I think the relationship is over.",0.0,1,151,63,172
"We had a disagreement, but I think we'll work things out.",0.0,0,296,55,63
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,143,56,54
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,116,38,165
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,238,65,18
"I know we had a fight, but we'll get through it together.",0.0,0,121,82,192
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,57,86,150
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,80,42,192
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,385,97,177
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,73,23,118
"I know we had a fight, but we'll get through it together.",0.0,0,311,5,150
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,52,80,80
"We had a disagreement, but I think we'll work things out.",0.0,0,343,55,102
"I love him, and we are just going through a rough patch.",0.2,0,480,20,55
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,308,89,120
"I don't trust him anymore, I think the relationship is over.",0.0,1,449,66,179
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,91,71,178
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,138,65,139
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,281,46,199
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,215,23,0
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,247,50,104
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,145,33,54
"I know we had a fight, but we'll get through it together.",0.0,0,102,7,139
"We had a disagreement, but I think we'll work things out.",0.0,0,376,35,57
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,433,42,134
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,383,60,38
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,90,63,43
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,175,96,157
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,408,29,158
"Things aren't perfect, but I'm willing to fix it.",0.625,0,462,45,190
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,280,39,171
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,59,72,197
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,243,38,5
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,483,100,5
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,194,58,183
"I don't trust him anymore, I think the relationship is over.",0.0,1,288,17,160
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,45,5,156
"I love him, and we are just going through a rough patch.",0.2,0,488,71,40
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,417,47,128
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,83,11,77
"I don't trust him anymore, I think the relationship is over.",0.0,1,24,97,102
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,302,59,31
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,271,26,61
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,238,65,94
"I know we had a fight, but we'll get through it together.",0.0,0,473,82,128
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,289,52,130
"I don't trust him anymore, I think the relationship is over.",0.0,1,274,38,200
"Things aren't perfect, but I'm willing to fix it.",0.625,0,323,60,184
"I love him, and we are just going through a rough patch.",0.2,0,68,54,136
"I know we had a fight, but we'll get through it together.",0.0,0,395,66,115
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,19,2,176
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,381,19,105
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,135,84,139
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,500,43,60
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,458,97,196
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,472,35,1
"I don't trust him anymore, I think the relationship is over.",0.0,1,303,68,78
"I don't trust him anymore, I think the relationship is over.",0.0,1,484,50,134
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,407,60,182
"Things aren't perfect, but I'm willing to fix it.",0.625,0,154,42,197
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,330,95,63
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,340,21,175
"Things aren't perfect, but I'm willing to fix it.",0.625,0,340,54,11
"I love him, and we are just going through a rough patch.",0.2,0,463,61,143
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,138,85,164
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,252,21,21
"Things aren't perfect, but I'm willing to fix it.",0.625,0,366,23,114
"Things aren't perfect, but I'm willing to fix it.",0.625,0,294,49,75
"I know we had a fight, but we'll get through it together.",0.0,0,299,39,197
"We had a disagreement, but I think we'll work things out.",0.0,0,487,9,136
"We had a disagreement, but I think we'll work things out.",0.0,0,410,49,28
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,359,26,117
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,275,42,132
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,272,100,100
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,3,80,59
"I love him, and we are just going through a rough patch.",0.2,0,157,96,97
"I feel like we're drifting apart, should I end things?",0.0,1,350,61,130
"I love him, and we are just going through a rough patch.",0.2,0,173,3,47
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,320,62,27
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,272,41,112
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,245,11,8
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,278,29,22
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,223,31,28
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,483,82,76
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,265,27,180
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,253,88,81
"I don't trust him anymore, I think the relationship is over.",0.0,1,65,36,169
"I know we had a fight, but we'll get through it together.",0.0,0,319,24,131
"Things aren't perfect, but I'm willing to fix it.",0.625,0,197,1,46
"I know we had a fight, but we'll get through it together.",0.0,0,356,39,49
"Things aren't perfect, but I'm willing to fix it.",0.625,0,422,31,9
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,445,42,29
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,500,20,73
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,11,7,181
"I know we had a fight, but we'll get through it together.",0.0,0,295,92,95
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,211,21,179
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,392,65,54
"I feel like we're drifting apart, should I end things?",0.0,1,0,99,177
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,366,22,16
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,291,25,91
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,223,17,112
"I don't trust him anymore, I think the relationship is over.",0.0,1,356,55,3
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,449,8,178
"I feel like we're drifting apart, should I end things?",0.0,1,47,53,142
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,168,32,72
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,31,72,152
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,19,10,167
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,489,74,90
"Things aren't perfect, but I'm willing to fix it.",0.625,0,399,78,164
"I feel like we're drifting apart, should I end things?",0.0,1,493,80,169
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,278,41,165
"I feel like we're drifting apart, should I end things?",0.0,1,39,15,119
"I don't trust him anymore, I think the relationship is over.",0.0,1,87,35,17
"I know we had a fight, but we'll get through it together.",0.0,0,485,89,59
"I love him, and we are just going through a rough patch.",0.2,0,430,58,92
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,360,0,166
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,420,94,130
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,328,94,82
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,432,42,130
"I love him, and we are just going through a rough patch.",0.2,0,64,63,62
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,102,26,117
"We had a disagreement, but I think we'll work things out.",0.0,0,325,25,95
"He's always so distant, I feel like I'm pushing for a breakup.",-0.1,1,456,35,113
"I don't feel happy in this relationship anymore, maybe it's time to leave.",0.8,1,435,42,34
"I feel like we're drifting apart, should I end things?",0.0,1,42,94,189
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,88,4,97
"I know we had a fight, but we'll get through it together.",0.0,0,493,50,64
"She cheated, and I don't know if I can forgive her. I think it's time to move on.",0.0,1,462,48,66
"We haven't talked in days, and I feel like I should break up with her.",0.0,1,224,44,145
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,175,29,56
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,285,35,1
"We’ve been through tough times before, and we’ll overcome this too.",-0.3888888888888889,0,334,8,80
"I feel like I need some space, but I'm not thinking about breaking up.",0.0,0,178,95,78
"Our relationship has its ups and downs, but we are happy overall.",0.4,0,160,68,98
"I love him, and we are just going through a rough patch.",0.2,0,372,37,199
"I don't trust him anymore, I think the relationship is over.",0.0,1,162,59,53
"Every argument we have seems worse than the last, I don't think I can do this anymore.",-0.2,1,330,20,110
